"GeneName","PearsonCorrelation","p.Standard","q.Standard"
"38","DEPDC1",0.472388317670127,5.92197352277371e-13,8.5410349097729e-11
"39","BUB1B",0.470743936122331,7.35938643876376e-13,1.03025991981957e-10
"40","CENPA",0.470580704052651,7.5193303254588e-13,1.03025991981957e-10
"41","PDGFD",-0.468890727102604,9.38702856488212e-13,1.25479250217404e-10
"42","RACGAP1",0.468414317850859,9.99039119575183e-13,1.28938065974249e-10
"43","LAMB2",-0.468318432609672,1.01163064072964e-12,1.28938065974249e-10
"44","AURKB",0.465309770668132,1.49534848269375e-12,1.80559023188451e-10
"45","TROAP",0.465239212136454,1.50903901951727e-12,1.80559023188451e-10
"46","CTPS1",0.465155082478822,1.52552204336767e-12,1.80559023188451e-10
"47","HMGA1",0.465039653794272,1.5484223176709e-12,1.80559023188451e-10
"48","NCAPG",0.463986101978381,1.77348093608065e-12,2.024943543201e-10
"49","HCCS",0.462940686578223,2.02808583061527e-12,2.26839083041305e-10
"50","KIF4A",0.461882217093107,2.32192998155643e-12,2.54511111291446e-10
"51","CDK1",0.46140872175934,2.46639799096459e-12,2.61326537970657e-10
"52","CCNB1",0.461367209928962,2.47947210331181e-12,2.61326537970657e-10
"53","PSMB2",0.461104673261766,2.56373093507022e-12,2.65108838182642e-10
"54","WBP1L",-0.460796307323956,2.66625397349635e-12,2.70604732864303e-10
"55","GLT8D1",-0.459888926059591,2.99157679272225e-12,2.98102143114218e-10
"56","MCM2",0.459409436822998,3.17873809451123e-12,3.11095946108239e-10
"57","KIF20A",0.458923102788106,3.38017236088658e-12,3.25006182757126e-10
"58","EXO1",0.458015857567582,3.78958816306562e-12,3.52569237959121e-10
"59","CMC2",0.458003471051232,3.79549825720623e-12,3.52569237959121e-10
"60","RAD51",0.457664377300799,3.96081539194937e-12,3.61793685652532e-10
"61","MRPS17",0.457111449710791,4.24549018570514e-12,3.81439477222479e-10
"62","CDKN3",0.456410456698929,4.63507062084323e-12,4.09724843749827e-10
"63","PRC1",0.455965179438597,4.90033481505807e-12,4.26297550288892e-10
"64","KIF11",0.455278022556718,5.33885231667235e-12,4.57188782247689e-10
"65","CDCA8",0.4550699357664,5.47900103456136e-12,4.61972004439852e-10
"66","APOBEC3B",0.454805340583415,5.66237515707295e-12,4.70199687989109e-10
"67","ASPM",0.454434891908691,5.92915296374492e-12,4.82896599240259e-10
"68","TPI1",0.454350654260426,5.99149811992975e-12,4.82896599240259e-10
"69","MCM6",0.45367622155639,6.51412985419733e-12,5.17410160930508e-10
"70","RANBP1",0.453132468629783,6.96747323973612e-12,5.45512745008413e-10
"71","GMPS",0.452910268206316,7.16141527934802e-12,5.52800137077615e-10
"72","SNRPA1",0.452241250449912,7.77752442860341e-12,5.88028456845848e-10
"73","NEK2",0.452184205071429,7.83237678569183e-12,5.88028456845848e-10
"74","GINS1",0.451931374494341,8.08004136140878e-12,5.98424680292143e-10
"75","RRM2",0.45131577008225,8.71527603898588e-12,6.3686519619831e-10
"76","TTK",0.451160588178239,8.88290226276421e-12,6.40573434131419e-10
"77","GTPBP4",0.450903987903459,9.16696771256116e-12,6.52473096085094e-10
"78","STIL",0.450386115098425,9.76737068804914e-12,6.86294786586396e-10
"79","E2F8",0.449576369228604,1.07833747374329e-11,7.48092393264997e-10
"80","TRAK1",-0.448387002087209,1.24638561226513e-11,8.53866691165875e-10
"81","NCAPD2",0.447392461605945,1.40617687656887e-11,9.39892436796855e-10
"82","SHMT2",0.447342660927713,1.41468015875337e-11,9.39892436796855e-10
"83","AURKA",0.447291861170388,1.4234054194422e-11,9.39892436796855e-10
"84","RERE",-0.446039297335587,1.65583260561439e-11,1.08035074658494e-09
"85","CENPF",0.445670405800615,1.73103364753461e-11,1.11612854726187e-09
"86","ZNF423",-0.444216627808757,2.06097552564383e-11,1.31341513195524e-09
"87","UBE2S",0.442717081686847,2.46495991809443e-11,1.5528097217241e-09
"88","DDX39A",0.442402253385183,2.55904125749284e-11,1.59375752327366e-09
"89","CKS2",0.44227527042146,2.59796542072566e-11,1.59981952145335e-09
"90","RBM38",0.441406902863911,2.87995941161024e-11,1.74064803908051e-09
"91","FAM64A",0.44129648916025,2.91787514188694e-11,1.74064803908051e-09
"92","CRY2",-0.441284737224534,2.92193910188716e-11,1.74064803908051e-09
"93","TENC1",-0.440113690521618,3.35563778962184e-11,1.97751488093285e-09
"94","MTHFD2",0.439907609888311,3.4381584832069e-11,2.00459051193702e-09
"95","PLSCR4",-0.439620680586397,3.55633687861682e-11,2.05166722305454e-09
"96","FAM172A",-0.439170148209901,3.74988429364451e-11,2.11999714075071e-09
"97","IL6ST",-0.439165024780816,3.75214296148946e-11,2.11999714075071e-09
"98","FRY",-0.438813582044059,3.910264768551e-11,2.18679323418412e-09
"99","TACC3",0.438670929585557,3.97627357603574e-11,2.20124658286544e-09
"100","FLRT2",-0.437961847771546,4.32074042499567e-11,2.33628088189358e-09
"101","LOC100506718",-0.437961847771546,4.32074042499567e-11,2.33628088189358e-09
"102","ZNF83",-0.437907938540756,4.34808068648111e-11,2.33628088189358e-09
"103","LRP8",0.437457613027303,4.58310968745249e-11,2.43865665357627e-09
"104","ZCCHC24",-0.436781021443579,4.95952953195868e-11,2.61357383456515e-09
"105","NOP2",0.436035075180448,5.40925879554301e-11,2.82342394197156e-09
"106","KIAA0101",0.435928555134344,5.47661992474742e-11,2.82962836403254e-09
"107","RBM5",-0.43585375747595,5.52440545710945e-11,2.82962836403254e-09
"108","CDC25A",0.435406712557031,5.81854191484297e-11,2.95269129681053e-09
"109","EFHC1",-0.435001103307109,6.09850293624804e-11,3.06636868847989e-09
"110","EZH1",-0.434886455941548,6.17997252888963e-11,3.07908367876558e-09
"111","H2AFZ",0.434772448782468,6.26203232446796e-11,3.0918609811798e-09
"112","ASF1B",0.434438250934791,6.50870942792653e-11,3.18496374539431e-09
"113","PSAT1",0.434288231579078,6.62247847716338e-11,3.18587701959377e-09
"114","SKP2",0.4342765908882,6.63138643699001e-11,3.18587701959377e-09
"115","NEK9",-0.43420689221607,6.68496619387813e-11,3.18587701959377e-09
"116","GATA3",-0.433794462468624,7.01070306449253e-11,3.31231183357762e-09
"117","PURA",-0.433258664653475,7.45690623572234e-11,3.49301501709941e-09
"118","TMEM30B",-0.432407482075768,8.2228601783295e-11,3.8191659572148e-09
"119","TYMS",0.432289968368076,8.33441746553618e-11,3.83845029377654e-09
"120","DESI1",0.432189890173705,8.43057752206305e-11,3.85038106053388e-09
"121","MLPH",-0.431815053418538,8.8003796676884e-11,3.97226265305358e-09
"122","CALCOCO1",-0.43177343028833,8.84239996939057e-11,3.97226265305358e-09
"123","AHNAK",-0.431596406267477,9.02329398493792e-11,4.02057000215894e-09
"124","UQCRH",0.431336615132659,9.29526871234104e-11,4.04974414539485e-09
"125","UQCRHL",0.431336615132659,9.29526871234104e-11,4.04974414539485e-09
"126","WARS",0.431322335199033,9.31044629006543e-11,4.04974414539485e-09
"127","ZWINT",0.431152783162053,9.49250076507232e-11,4.09256986558155e-09
"128","ITGBL1",-0.431092321181162,9.55825118918431e-11,4.09256986558155e-09
"129","KIF18B",0.430446988079838,1.02880804062416e-10,4.37091410231046e-09
